symbol,timeframe,factor,ic,ir,abs_ic,ic_win
XRPUSDT,30min,price_momentum,-0.28098615916955016,-0.7645087926650013,0.28098615916955016,0.9794117647058823
XRPUSDT,30min,bollinger_position,-0.40536034884315647,-1.2487768509936432,0.40536034884315647,0.9809104258443465
XRPUSDT,30min,obv_slope,0.1798918685121107,0.43810209215592155,0.1798918685121107,0.9823529411764705
XRPUSDT,1h,volatility,-0.004441260744985675,-0.010768721594492903,0.004441260744985675,0.9770773638968482
XRPUSDT,1h,atr_ratio,0.10696198800636658,0.26871411293671515,0.10696198800636658,0.9693513898788311
XRPUSDT,1h,rsi,-0.31091376430624346,-0.9721155396034535,0.31091376430624346,0.9696113074204947
XRPUSDT,1h,volume_ratio,-0.032644863040994704,-0.22871803863476,0.032644863040994704,0.896113074204947
XRPUSDT,1h,price_momentum,-0.3226253312364004,-0.8964607152032191,0.3226253312364004,0.9792263610315186
XRPUSDT,1h,bollinger_position,-0.237677761402216,-0.6805378319520813,0.237677761402216,0.9727988546886185
XRPUSDT,1h,obv_slope,0.12102462459874613,0.30815522316683064,0.12102462459874613,0.9713467048710601
XRPUSDT,4h,volatility,-0.08157823771320702,-0.1786481737321031,0.08157823771320702,0.9735724398301085
XRPUSDT,4h,atr_ratio,0.12437004434887781,0.26378843474867386,0.12437004434887781,0.9755409219190969
XRPUSDT,4h,rsi,-0.48687190966190036,-1.4957802770433715,0.48687190966190036,0.9873713751169317
XRPUSDT,4h,volume_ratio,0.01457637311238808,0.07996040442167235,0.01457637311238808,0.9073900841908326
XRPUSDT,4h,price_momentum,-0.40322085889570547,-1.0475720387049603,0.40322085889570547,0.9825389334591789
XRPUSDT,4h,bollinger_position,-0.4355261369046436,-1.1891712878031258,0.4355261369046436,0.9858490566037735
XRPUSDT,4h,obv_slope,0.24184419874603919,0.5820488096951295,0.24184419874603919,0.9702689948088721
XRPUSDT,1d,volatility,0.015265076803538334,0.03333024742053892,0.015265076803538334,0.9684418145956607
XRPUSDT,1d,atr_ratio,0.20620209880910267,0.5037051618939749,0.20620209880910267,0.9591439688715954
XRPUSDT,1d,rsi,-0.47036896738782846,-1.4120414460226474,0.47036896738782846,0.9771863117870723
XRPUSDT,1d,volume_ratio,0.00686715059338634,0.026338030665153958,0.00686715059338634,0.9429657794676806
XRPUSDT,1d,price_momentum,-0.3483712868328252,-0.8659913224773043,0.3483712868328252,0.9763313609467456
XRPUSDT,1d,bollinger_position,-0.45545166510561186,-1.272604528998988,0.45545166510561186,0.984251968503937
XRPUSDT,1d,obv_slope,-0.22342956189110036,-0.5758883586868553,0.22342956189110036,0.9743589743589743
DOTUSDT,5min,volatility,-0.15183211105290725,-0.30389927471868183,0.15183211105290725,0.9728915662650602
DOTUSDT,5min,atr_ratio,0.1610289639085077,0.3192656221477688,0.1610289639085077,0.9821162444113264
DOTUSDT,5min,rsi,-0.5061025799449939,-1.568992083573856,0.5061025799449939,0.9809663250366032
DOTUSDT,5min,volume_ratio,0.009445540772805395,0.07423970147134816,0.009445540772805395,0.8535871156661786
DOTUSDT,5min,price_momentum,-0.4218569931901519,-1.2242830828046034,0.4218569931901519,0.983433734939759
DOTUSDT,5min,bollinger_position,-0.4929835377495065,-1.4361954408062056,0.4929835377495065,0.9789473684210527
DOTUSDT,5min,obv_slope,-0.2842155578837087,-0.7007411142963269,0.2842155578837087,0.9698795180722891
DOTUSDT,15min,volatility,-0.10701306838524882,-0.24480075000123766,0.10701306838524882,0.9776785714285714
DOTUSDT,15min,atr_ratio,0.1328357713134087,0.296237782933798,0.1328357713134087,0.9661266568483063
DOTUSDT,15min,rsi,-0.46529493052457477,-1.431126438882515,0.46529493052457477,0.9942112879884226
DOTUSDT,15min,volume_ratio,0.011936498264474498,0.0744597655586223,0.011936498264474498,0.8972503617945007
DOTUSDT,15min,price_momentum,-0.40529224847833867,-0.9821678961934133,0.40529224847833867,0.9747023809523809
DOTUSDT,15min,bollinger_position,-0.40731226015708843,-1.17657013845648,0.40731226015708843,0.9881129271916791
DOTUSDT,15min,obv_slope,0.1311179735051915,0.3073074623473722,0.1311179735051915,0.9642857142857143
DOTUSDT,30min,volatility,-0.005986159169550183,-0.01454035384969739,0.005986159169550183,0.9823529411764705
DOTUSDT,30min,atr_ratio,0.18604760681565205,0.46188112085240496,0.18604760681565205,0.9679767103347889
DOTUSDT,30min,rsi,-0.3806614491290078,-1.1734156205923152,0.3806614491290078,0.9799713876967096
DOTUSDT,30min,volume_ratio,-0.002802322645796511,-0.015117259005794715,0.002802322645796511,0.9227467811158798
DOTUSDT,30min,price_momentum,-0.380242214532872,-1.1579494394063439,0.380242214532872,0.9823529411764705
DOTUSDT,30min,bollinger_position,-0.32166042456422805,-0.9258296942169607,0.32166042456422805,0.9794419970631424
DOTUSDT,30min,obv_slope,0.2512283737024222,0.6654021318566407,0.2512283737024222,0.986764705882353
DOTUSDT,1h,volatility,-0.00543766292522136,-0.01569780408298246,0.00543766292522136,0.9570200573065902
DOTUSDT,1h,atr_ratio,0.06769811199416932,0.19060234187814573,0.06769811199416932,0.9515324305060584
DOTUSDT,1h,rsi,-0.38176677325937947,-1.313626946527971,0.38176677325937947,0.9787985865724381
DOTUSDT,1h,volume_ratio,0.008886527272244213,0.06037341802622003,0.008886527272244213,0.901060070671378
DOTUSDT,1h,price_momentum,-0.3690662903677531,-1.1827852753635746,0.3690662903677531,0.9842406876790831
DOTUSDT,1h,bollinger_position,-0.35293462616096494,-1.0725401749995485,0.35293462616096494,0.9785254115962777
DOTUSDT,1h,obv_slope,0.23890492707413227,0.7054930687912193,0.23890492707413227,0.9620343839541547
DOTUSDT,4h,volatility,0.03357715903728173,0.07341595670191844,0.03357715903728173,0.9697970740915526
DOTUSDT,4h,atr_ratio,0.12287830936702053,0.27621477904186026,0.12287830936702053,0.977892756349953
DOTUSDT,4h,rsi,-0.4998173259829827,-1.5743779431029747,0.4998173259829827,0.990177736202058
DOTUSDT,4h,volume_ratio,-0.01893458505946812,-0.10373984240429364,0.01893458505946812,0.9148737137511693
DOTUSDT,4h,price_momentum,-0.41572675790467195,-1.0974802438083733,0.41572675790467195,0.9830108541764984
DOTUSDT,4h,bollinger_position,-0.4430325319667709,-1.209669329824406,0.4430325319667709,0.9863207547169811
DOTUSDT,4h,obv_slope,-0.31885491808804683,-0.7951572300123996,0.31885491808804683,0.9745162812647475
DOTUSDT,1d,volatility,-0.12452333990795528,-0.26320675141391253,0.12452333990795528,0.9704142011834319
DOTUSDT,1d,atr_ratio,0.057186652517391814,0.131079404143254,0.057186652517391814,0.9688715953307393
DOTUSDT,1d,rsi,-0.4412871356492839,-1.3902222246599365,0.4412871356492839,0.9714828897338403
DOTUSDT,1d,volume_ratio,-0.08141490955179168,-0.3138448135925865,0.08141490955179168,0.94106463878327
DOTUSDT,1d,price_momentum,-0.4120375351144581,-1.148949723431355,0.4120375351144581,0.9704142011834319
DOTUSDT,1d,bollinger_position,-0.35488859722198685,-0.9262250788144255,0.35488859722198685,0.984251968503937
